session_id;username;time;position;velocity;rotation;current_lap
1;manelmm3;29/11/2019 20:17:39;198.9, 0.0, 297.2;-25.3, 0.0, 24.2;0.0, 0.4, 0.0, -0.9;0
1;manelmm3;29/11/2019 20:17:40;192.1, 0.0, 305.2;-16.9, 0.1, 26.1;0.0, 0.3, 0.0, -1.0;0
1;manelmm3;29/11/2019 20:17:40;188.4, 0.0, 313.2;-9.2, 0.0, 27.2;0.0, 0.1, 0.0, -1.0;0
1;manelmm3;29/11/2019 20:17:40;186.3, 0.0, 321.4;-5.0, 0.0, 27.2;0.0, 0.1, 0.0, -1.0;0
1;manelmm3;29/11/2019 20:17:41;185.7, 0.0, 329.5;0.6, 0.0, 26.5;0.0, 0.0, 0.0, -1.0;0
1;manelmm3;29/11/2019 20:17:41;187.0, 0.0, 337.7;6.2, 0.0, 24.8;0.0, -0.2, 0.0, -1.0;0
1;manelmm3;29/11/2019 20:17:41;189.6, 0.0, 344.9;11.7, 0.0, 23.1;0.0, -0.2, 0.0, -1.0;0
1;manelmm3;29/11/2019 20:17:42;194.2, 0.0, 351.4;17.5, 0.0, 20.6;0.0, -0.4, 0.0, -0.9;0
1;manelmm3;29/11/2019 20:17:42;200.0, 0.0, 357.3;20.6, 0.0, 19.1;0.0, -0.4, 0.0, -0.9;0
1;manelmm3;29/11/2019 20:17:42;206.7, 0.0, 362.6;23.9, 0.0, 16.7;0.0, -0.5, 0.0, -0.9;0
1;manelmm3;29/11/2019 20:17:42;214.2, 0.0, 367.4;26.1, 0.0, 15.2;0.0, -0.5, 0.0, -0.9;0
1;manelmm3;29/11/2019 20:17:43;222.3, 0.0, 371.8;27.7, 0.0, 14.5;0.0, -0.5, 0.0, -0.8;0
1;manelmm3;29/11/2019 20:17:43;231.4, 0.0, 376.4;29.1, 0.0, 14.3;0.0, -0.5, 0.0, -0.8;0
1;manelmm3;29/11/2019 20:17:43;240.2, 0.0, 380.9;29.4, 0.0, 15.7;0.0, -0.5, 0.0, -0.9;0
1;manelmm3;29/11/2019 20:17:44;249.2, 0.0, 385.7;30.3, 0.0, 16.1;0.0, -0.5, 0.0, -0.9;0
1;manelmm3;29/11/2019 20:17:44;258.4, 0.0, 390.5;31.3, 0.0, 16.2;0.0, -0.5, 0.0, -0.9;0
1;manelmm3;29/11/2019 20:17:44;268.6, 0.0, 395.7;32.4, 0.0, 16.3;0.0, -0.5, 0.0, -0.9;0
1;manelmm3;29/11/2019 20:17:45;278.7, 0.0, 400.2;34.8, 0.0, 12.3;0.0, -0.6, 0.0, -0.8;0
1;manelmm3;29/11/2019 20:17:45;289.6, 0.0, 402.3;37.5, 0.0, 2.9;0.0, -0.7, 0.0, -0.7;0
1;manelmm3;29/11/2019 20:17:45;301.0, 0.0, 402.1;38.2, 0.0, -3.6;0.0, -0.8, 0.0, -0.6;0
1;manelmm3;29/11/2019 20:17:45;312.5, 0.0, 400.9;39.0, 0.0, -2.4;0.0, -0.7, 0.0, -0.7;0
1;manelmm3;29/11/2019 20:17:46;324.4, 0.0, 400.7;39.7, 0.0, -0.3;0.0, -0.7, 0.0, -0.7;0
1;manelmm3;29/11/2019 20:17:46;337.2, 0.3, 400.5;40.2, 1.6, -1.0;0.0, -0.7, 0.0, -0.7;1
1;manelmm3;29/11/2019 20:17:46;349.1, 0.1, 400.1;39.4, -1.6, -2.0;0.0, -0.7, 0.0, -0.7;1
1;manelmm3;29/11/2019 20:17:47;361.3, 0.1, 399.3;41.5, 0.1, -3.4;0.0, -0.7, 0.0, -0.7;1
1;manelmm3;29/11/2019 20:17:47;373.9, 0.0, 398.2;42.4, 0.0, -4.2;0.0, -0.7, 0.0, -0.7;1
1;manelmm3;29/11/2019 20:17:47;386.7, 0.0, 396.8;43.0, 0.0, -4.8;0.0, -0.7, 0.0, -0.7;1
1;manelmm3;29/11/2019 20:17:48;400.4, 0.0, 394.7;41.8, 0.0, -10.4;0.0, -0.8, 0.0, -0.6;1
1;manelmm3;29/11/2019 20:17:48;411.9, 0.0, 389.6;34.0, 0.0, -23.1;0.0, -0.9, 0.0, -0.4;1
1;manelmm3;29/11/2019 20:17:48;420.1, 0.0, 381.0;21.0, 0.0, -32.9;0.0, -1.0, 0.0, -0.2;1
1;manelmm3;29/11/2019 20:17:49;424.3, 0.0, 370.4;8.6, 0.0, -36.9;0.0, -1.0, 0.0, 0.0;1
1;manelmm3;29/11/2019 20:17:49;426.3, 1.0, 359.9;5.9, 4.9, -33.4;-0.2, -1.0, -0.1, 0.1;1
1;manelmm3;29/11/2019 20:17:49;428.0, 2.4, 349.3;4.9, 2.8, -32.7;-0.1, -1.0, -0.1, 0.0;1
1;manelmm3;29/11/2019 20:17:49;429.4, 2.6, 339.7;4.6, -1.1, -31.9;-0.1, -1.0, 0.0, -0.1;1
1;manelmm3;29/11/2019 20:17:50;431.0, 1.8, 330.2;7.3, -4.1, -30.9;-0.1, -1.0, 0.1, -0.2;1
1;manelmm3;29/11/2019 20:17:50;433.6, 0.3, 321.4;7.6, -3.7, -27.4;-0.1, -0.9, 0.1, -0.3;1
1;manelmm3;29/11/2019 20:17:50;436.5, 0.1, 312.8;7.7, 0.5, -27.7;0.0, -1.0, 0.0, -0.2;1
1;manelmm3;29/11/2019 20:17:51;436.4, 0.0, 304.3;-8.3, 0.0, -27.3;0.0, -1.0, 0.0, 0.2;1
1;manelmm3;29/11/2019 20:17:51;431.4, 0.0, 297.9;-22.9, 0.0, -14.5;0.0, -0.8, 0.0, 0.6;1
1;manelmm3;29/11/2019 20:17:51;423.6, 0.1, 296.0;-27.1, -0.1, -0.6;0.0, -0.6, 0.0, 0.8;1
1;manelmm3;29/11/2019 20:17:52;415.4, 0.0, 296.9;-27.5, 0.0, 4.2;0.0, -0.5, 0.0, 0.9;1
1;manelmm3;29/11/2019 20:17:52;406.5, 0.0, 297.3;-28.2, 0.0, -3.1;0.0, -0.7, 0.0, 0.7;1
1;manelmm3;29/11/2019 20:17:52;398.4, 0.0, 294.3;-24.9, 0.0, -15.7;0.0, -0.9, 0.0, 0.5;1
1;manelmm3;29/11/2019 20:17:52;391.3, 0.0, 288.8;-23.8, 0.0, -18.8;0.0, -0.9, 0.0, 0.4;1
1;manelmm3;29/11/2019 20:17:53;383.9, 0.0, 283.3;-25.1, 0.0, -18.5;0.0, -0.9, 0.0, 0.5;1
1;manelmm3;29/11/2019 20:17:53;376.9, 0.1, 277.0;-20.4, 0.0, -24.1;0.0, -0.9, 0.0, 0.3;1
1;manelmm3;29/11/2019 20:17:53;371.8, 0.0, 268.2;-12.9, 0.0, -29.8;0.0, -1.0, 0.0, 0.2;1
1;manelmm3;29/11/2019 20:17:54;368.6, 0.0, 258.8;-8.6, 0.0, -32.3;0.0, -1.0, 0.0, 0.1;1
1;manelmm3;29/11/2019 20:17:54;366.5, 0.0, 248.9;-6.2, 0.1, -33.8;0.0, -1.0, 0.0, 0.1;1
1;manelmm3;29/11/2019 20:17:54;364.8, 0.3, 238.6;-4.9, 1.3, -34.8;0.0, -1.0, 0.0, 0.1;1
1;manelmm3;29/11/2019 20:17:55;363.4, 0.5, 228.0;-4.5, -0.4, -35.0;0.1, -1.0, 0.0, 0.1;1
